Date,Open,High,Low,Close,Volume
1/2/2020 16:00:00,326.1,329.98,324.78,329.81,4348493
1/3/2020 16:00:00,326.78,329.86,325.53,325.9,3795466
1/6/2020 16:00:00,323.12,336.36,321.2,335.83,5668577
1/7/2020 16:00:00,336.47,336.7,330.3,330.75,4742458
1/8/2020 16:00:00,331.49,342.7,331.05,339.26,7109117
1/9/2020 16:00:00,342,343.42,334.61,335.66,4717430
1/10/2020 16:00:00,337.13,338.5,327.27,329.05,4720540
1/13/2020 16:00:00,331.8,340.85,331.51,338.92,6296174
1/14/2020 16:00:00,344.4,345.38,335.52,338.69,7201544
1/15/2020 16:00:00,338.68,343.17,336.6,339.07,5158035
1/16/2020 16:00:00,343.5,343.56,335.85,338.62,5015997
1/17/2020 16:00:00,341,341.57,337.38,339.67,6066547
1/21/2020 16:00:00,340,341,332.59,338.11,14350322
1/22/2020 16:00:00,332.55,336.3,323.6,326,21729959
1/23/2020 16:00:00,326.04,349.88,325.01,349.6,18200293
1/24/2020 16:00:00,348.46,359.85,345.88,353.16,17939681
1/27/2020 16:00:00,345.95,351.9,341.02,342.88,7709482
1/28/2020 16:00:00,345.88,352.4,342.78,348.52,6821581
1/29/2020 16:00:00,349,349.4,338.55,343.16,7649183
1/30/2020 16:00:00,341.1,348.2,339.25,347.74,5328136
1/31/2020 16:00:00,347.39,347.39,340.98,345.09,5230001
2/3/2020 16:00:00,347.24,359.63,346.28,358,6674885
2/4/2020 16:00:00,361,369.57,356.1,369.01,7161451
2/5/2020 16:00:00,375.13,375.25,362.3,369.67,6437026
2/6/2020 16:00:00,369.6,371.55,362.51,366.95,3920428
2/7/2020 16:00:00,365.04,371.8,363.57,366.77,4385227
2/10/2020 16:00:00,365,374.8,362.52,371.07,5294138
2/11/2020 16:00:00,373.75,378.11,369.72,373.69,4772870
2/12/2020 16:00:00,377.18,380.62,375.88,380.01,4624772
2/13/2020 16:00:00,376.96,385.37,376.51,381.4,4485383
2/14/2020 16:00:00,381.47,385.15,379.43,380.4,3736266
2/18/2020 16:00:00,379.3,389.54,379.19,387.78,5180400
2/19/2020 16:00:00,388.12,392.95,384.9,386.19,4896368
2/20/2020 16:00:00,386.56,389.7,376.68,386,4079425
2/21/2020 16:00:00,385.33,387.32,377.9,380.07,3935618
2/24/2020 16:00:00,364.76,372.82,361,368.7,6936418
2/25/2020 16:00:00,372,375.65,357.72,360.09,6481243
2/26/2020 16:00:00,366.31,382,365,379.24,8961126
2/27/2020 16:00:00,371.46,391.56,370.6,371.71,10967699
2/28/2020 16:00:00,364.21,376.77,356.8,369.03,11178572
3/2/2020 16:00:00,373.11,381.36,364.5,381.05,6997891
3/3/2020 16:00:00,381.03,393.52,367.4,368.77,8364623
3/4/2020 16:00:00,377.77,384.01,370.51,383.79,5487340
3/5/2020 16:00:00,381,391.4,368.64,372.78,8746985
3/6/2020 16:00:00,367.7,371.31,356.85,368.97,8147165
3/9/2020 16:00:00,343.86,357.47,341.72,346.49,7405458
3/10/2020 16:00:00,356.43,364.54,347.85,364.13,7604444
3/11/2020 16:00:00,358.92,362.98,344.79,349.92,6058782
3/12/2020 16:00:00,326.5,335.72,307.32,315.25,12071591
3/13/2020 16:00:00,330.51,336.42,307.39,336.3,9458197
3/16/2020 16:00:00,306.63,334.35,294.75,298.84,10559940
3/17/2020 16:00:00,306.19,322.9,290.25,319.75,10013913
3/18/2020 16:00:00,302.4,331.58,300,315.47,12593647
3/19/2020 16:00:00,324.33,348.51,316.82,332.03,10615957
3/20/2020 16:00:00,342.31,350.49,332,332.83,10853846
3/23/2020 16:00:00,347.89,366.11,340.88,360.27,13449378
3/24/2020 16:00:00,369.99,372.93,353.03,357.32,11638683
3/25/2020 16:00:00,361.02,362,339.17,342.39,8767171
3/26/2020 16:00:00,344,363.84,341.73,362.99,7235016
3/27/2020 16:00:00,359.09,368.56,353,357.12,7948775
3/30/2020 16:00:00,363,377.8,361.17,370.96,8621964
3/31/2020 16:00:00,367.93,383.01,366.44,375.5,9366464
4/1/2020 16:00:00,376.05,380.23,361.02,364.08,6672454
4/2/2020 16:00:00,364.08,370.99,360.06,370.08,4592477
4/3/2020 16:00:00,367.47,370.9,357.51,361.76,4860768
4/6/2020 16:00:00,365.22,380.29,361.71,379.96,8183921
4/7/2020 16:00:00,380,381.33,369.34,372.28,7046438
4/8/2020 16:00:00,374.01,378.39,368.31,371.12,6908879
4/9/2020 16:00:00,371.06,372.1,363.03,370.72,7711296
4/13/2020 16:00:00,371.31,400.51,367.7,396.72,11692922
4/14/2020 16:00:00,397.5,417.82,394.85,413.55,11580983
4/15/2020 16:00:00,413,434.98,412.25,426.75,13561222
4/16/2020 16:00:00,437,449.52,431.61,439.17,16128666
4/17/2020 16:00:00,431,432,414.7,422.96,12616258
4/20/2020 16:00:00,435.17,444.49,430.56,437.49,12655818
4/21/2020 16:00:00,444.77,447,425.6,433.83,23177550
4/22/2020 16:00:00,429.73,433,413,421.42,21123773
4/23/2020 16:00:00,419.26,438.41,419.26,426.7,13952330
4/24/2020 16:00:00,425,427.17,415.88,424.99,8670362
4/27/2020 16:00:00,425,429,420.84,421.38,6277480
4/28/2020 16:00:00,419.99,421,402.91,403.83,10101233
4/29/2020 16:00:00,399.53,415.86,393.6,411.89,9693137
4/30/2020 16:00:00,410.31,424.44,408,419.85,7953975
5/1/2020 16:00:00,415.1,427.97,411.73,415.27,8299858
5/4/2020 16:00:00,417.78,428.54,414.87,428.15,7799058
5/5/2020 16:00:00,427.56,431,421.56,424.68,6286293
5/6/2020 16:00:00,429.3,439.77,426.39,434.26,6660737
5/7/2020 16:00:00,436.89,438.88,430.66,436.53,5650281
5/8/2020 16:00:00,434.14,442,433.64,435.55,5054308
5/11/2020 16:00:00,436.33,444.89,435.56,440.52,5486037
5/12/2020 16:00:00,442,444.17,431.36,431.82,4598211
5/13/2020 16:00:00,435.69,447,427.27,438.27,7014563
5/14/2020 16:00:00,444.9,452.38,432.82,441.95,9007467
5/15/2020 16:00:00,440.7,455,437.51,454.19,7243998
5/18/2020 16:00:00,451.16,456.36,443.35,452.58,7780309
5/19/2020 16:00:00,453.4,458.97,450.47,451.04,4810487
5/20/2020 16:00:00,454.25,455.81,444,447.67,5607257
5/21/2020 16:00:00,448.56,448.96,430.25,436.25,9117325
5/22/2020 16:00:00,437,439.09,427.18,429.32,5422334
5/26/2020 16:00:00,427.77,428.5,413.14,414.77,7881115
5/27/2020 16:00:00,410.38,420.02,397.86,419.89,10446339
5/28/2020 16:00:00,417.24,422.37,411.5,413.44,5660160
5/29/2020 16:00:00,417.46,420.3,411.85,419.73,5270484
6/1/2020 16:00:00,418.83,426.72,415.98,425.92,3748573
6/2/2020 16:00:00,425.87,427.59,419.46,427.31,3494801
6/3/2020 16:00:00,426.95,427.1,418.05,421.97,4316044
6/4/2020 16:00:00,422.39,428.71,410.03,414.33,5410529
6/5/2020 16:00:00,407.29,420.24,404.25,419.6,5099561
6/8/2020 16:00:00,416,420.8,406.5,419.49,5851453
6/9/2020 16:00:00,421.65,434.73,420.31,434.05,6796999
6/10/2020 16:00:00,436,439.69,430.55,434.48,4896893
6/11/2020 16:00:00,428.2,445.57,424.16,425.56,7462868
6/12/2020 16:00:00,429,434.06,412.45,418.07,6461127
6/15/2020 16:00:00,421.4,426.49,415.42,425.5,4471499
6/16/2020 16:00:00,425.76,437.96,425.18,436.13,5514016
6/17/2020 16:00:00,441.82,450.46,439.22,447.77,6529568
6/18/2020 16:00:00,448.73,452.76,442.8,449.87,4277627
6/19/2020 16:00:00,449.12,453.97,445.6,453.72,5933651
6/22/2020 16:00:00,455.01,468.59,454.21,468.04,6272105
6/23/2020 16:00:00,466.5,474.01,464.5,466.26,5948436
6/24/2020 16:00:00,468.54,472.36,454,457.85,4826191
6/25/2020 16:00:00,458.86,467.01,454,465.91,4134513
6/26/2020 16:00:00,466.39,468.03,442.24,443.4,6804726
6/29/2020 16:00:00,445.23,447.67,432.14,447.24,4843978
6/30/2020 16:00:00,450.02,457.59,447,455.04,4198545
7/1/2020 16:00:00,454,488.23,454,485.64,9705870
7/2/2020 16:00:00,485.64,492.28,475.53,476.89,6351485
7/6/2020 16:00:00,480.77,499.5,479.8,493.81,7838990
7/7/2020 16:00:00,497.31,504.82,490.83,493.16,5669870
7/8/2020 16:00:00,498.58,505.1,493.81,502.78,5691682
7/9/2020 16:00:00,508.4,510,495.78,507.76,5840541
7/10/2020 16:00:00,519.73,555.88,511.28,548.73,21605587
7/13/2020 16:00:00,567.98,575.37,520.96,525.5,18399020
7/14/2020 16:00:00,517.08,525.5,490.49,524.88,15083300
7/15/2020 16:00:00,516.3,529,510.18,523.26,10066652
7/16/2020 16:00:00,526.48,535.54,504.36,527.39,24498994
7/17/2020 16:00:00,494.87,503.59,484.14,492.99,24991352
7/20/2020 16:00:00,489.14,504.5,484.2,502.41,11940306
7/21/2020 16:00:00,506,506.22,488.61,490.1,9127218
7/22/2020 16:00:00,492.19,497.2,487.2,489.82,6954078
7/23/2020 16:00:00,491.13,491.9,472.02,477.58,7722034
7/24/2020 16:00:00,468.77,487.17,467.54,480.45,7746247
7/27/2020 16:00:00,484.51,496.92,482.31,495.65,7863069
7/28/2020 16:00:00,496.02,497.79,487.76,488.51,5986727
7/29/2020 16:00:00,492.25,494.92,484.13,484.48,6611769
7/30/2020 16:00:00,480.71,488.35,477.51,485.8,6608569
7/31/2020 16:00:00,488.29,494.8,484.5,488.88,5924310
8/3/2020 16:00:00,490.86,503.09,490.23,498.62,5876190
8/4/2020 16:00:00,498.65,510.44,498.65,509.64,5607968
8/5/2020 16:00:00,508.68,510.1,501.2,502.11,4313526
8/6/2020 16:00:00,504.11,510.82,498.7,509.08,3725861
8/7/2020 16:00:00,505.45,508.29,486.68,494.73,5910348
8/10/2020 16:00:00,493.35,497.46,478.63,483.38,4691185
8/11/2020 16:00:00,479.75,480.92,466.55,466.93,7329226
8/12/2020 16:00:00,471.34,482.49,470.18,475.47,5441243
8/13/2020 16:00:00,478.4,484.45,476.45,481.33,3008933
8/14/2020 16:00:00,482.82,488.33,480.21,482.68,2943487
8/17/2020 16:00:00,484.19,486.24,479.1,482.35,2423545
8/18/2020 16:00:00,484.35,495.3,482.8,491.87,3505518
8/19/2020 16:00:00,493.93,494.5,483.5,484.53,3156218
8/20/2020 16:00:00,484.69,498.94,483.89,497.9,5132480
8/21/2020 16:00:00,496.46,498.13,490,492.31,3921293
8/24/2020 16:00:00,495.44,501,483.16,488.81,4762183
8/25/2020 16:00:00,488.19,492.47,485.09,490.58,5727721
8/26/2020 16:00:00,492.5,549.04,492.08,547.53,20373681
8/27/2020 16:00:00,537.78,541,521.25,526.27,9062912
8/28/2020 16:00:00,532,539,522,523.89,4417517
8/31/2020 16:00:00,521.16,531.99,517.58,529.56,4941409
9/1/2020 16:00:00,532.6,557.39,532.45,556.55,9581907
9/2/2020 16:00:00,553.78,556.5,537.37,552.84,5886930
9/3/2020 16:00:00,545,554,521.32,525.75,9071089
9/4/2020 16:00:00,520.18,527.36,485.98,516.05,8270118
9/8/2020 16:00:00,498.4,522,495,507.02,5572684
9/9/2020 16:00:00,519.21,520,492.57,500.19,6848127
9/10/2020 16:00:00,503.35,506.29,478.84,480.67,6240181
9/11/2020 16:00:00,486.49,493.73,476.81,482.03,5035200
9/14/2020 16:00:00,480.62,488.99,471.3,476.26,7359126
9/15/2020 16:00:00,484,497.47,481.63,495.99,5336992
9/16/2020 16:00:00,499.99,504.66,483.31,483.86,4401412
9/17/2020 16:00:00,475.16,478.4,463.27,470.2,5379301
9/18/2020 16:00:00,472.51,479.4,458.6,469.96,6717711
9/21/2020 16:00:00,467.69,487.78,466.32,487.35,5457539
9/22/2020 16:00:00,489.01,491.82,479.26,491.17,3482324
9/23/2020 16:00:00,491.04,491.04,469,470.61,3726423
9/24/2020 16:00:00,470.53,477,467.82,473.08,3727201
9/25/2020 16:00:00,474.39,484.87,468.03,482.88,3769436
9/28/2020 16:00:00,489.11,492,477.88,490.65,4773497
9/29/2020 16:00:00,489.5,496.29,486.53,493.48,3543193
9/30/2020 16:00:00,492.57,504.63,489.27,500.03,4634111
10/1/2020 16:00:00,506.03,529.55,503.6,527.51,8153710
10/2/2020 16:00:00,516.43,526.37,502.7,503.06,6071165
10/5/2020 16:00:00,506.8,520.99,501.7,520.65,4088069
10/6/2020 16:00:00,518.72,521.82,504.16,505.87,4199034
10/7/2020 16:00:00,518,536.49,515.82,534.66,7988683
10/8/2020 16:00:00,533.48,535,524.15,531.79,5386488
10/9/2020 16:00:00,537.83,544.28,535,539.44,4781259
10/12/2020 16:00:00,548.81,551.81,538.24,539.81,5391074
10/13/2020 16:00:00,540.56,557.65,537.2,554.09,5602498
10/14/2020 16:00:00,562.61,572.49,541,541.45,9510081
10/15/2020 16:00:00,545.52,551.22,535.1,541.94,5113126
10/16/2020 16:00:00,549.5,554.33,530.03,530.79,6347363
10/19/2020 16:00:00,537.07,541.8,525.38,530.72,7567506
10/20/2020 16:00:00,528.14,533.78,522.26,525.42,10047175
10/21/2020 16:00:00,501.03,506.85,488.25,489.05,17405708
10/22/2020 16:00:00,494.69,495.14,482,485.23,6997922
10/23/2020 16:00:00,488.11,490.06,481.35,488.28,4927862
10/26/2020 16:00:00,487.03,496.82,478.9,488.24,6186087
10/27/2020 16:00:00,490.01,490.49,482.93,488.93,3627175
10/28/2020 16:00:00,486.36,494,483.28,486.24,5992731
10/29/2020 16:00:00,488.5,513.9,479.34,504.21,11120689
10/30/2020 16:00:00,502.01,505.88,472.21,475.74,7813897
11/2/2020 16:00:00,478.87,486.3,475,484.12,4408193
11/3/2020 16:00:00,484.93,495.31,478.76,487.22,3690213
11/4/2020 16:00:00,495.36,507.73,493.98,496.95,5137330
11/5/2020 16:00:00,506.56,518.73,503.45,513.76,5372781
11/6/2020 16:00:00,515,515.21,502.51,514.73,4236349
11/9/2020 16:00:00,485.54,495.85,467.26,470.5,10419676
11/10/2020 16:00:00,470.95,484.6,463.41,480.24,8306142
11/11/2020 16:00:00,483,491.68,478.26,490.76,5460532
11/12/2020 16:00:00,491,496.52,480.43,486.77,5071155
11/13/2020 16:00:00,486.77,488.94,477.8,482.84,3006510
11/16/2020 16:00:00,480,485.58,477.3,479.1,3953563
11/17/2020 16:00:00,480.12,487.51,478.85,480.63,3698082
11/18/2020 16:00:00,481.95,488.61,477.72,481.79,3629237
11/19/2020 16:00:00,482,487.8,480.47,484.67,2254653
11/20/2020 16:00:00,485.22,494.76,481.57,488.24,4255924
11/23/2020 16:00:00,490.46,491.15,475.84,476.62,5416571
11/24/2020 16:00:00,478.84,484.05,475.89,482.88,3557894
11/25/2020 16:00:00,485.13,486.9,478.92,485,3598629
11/27/2020 13:00:00,486.58,493.25,481.85,491.36,2805762
11/30/2020 16:00:00,490.08,492.55,481.27,490.7,3530940
12/1/2020 16:00:00,492.34,509.47,491.98,504.58,5063234
12/2/2020 16:00:00,501.62,506.8,493.5,503.38,3028358
12/3/2020 16:00:00,502.99,508.77,496.04,497.52,2826116
12/4/2020 16:00:00,497.5,504.5,493.64,498.31,3666243
12/7/2020 16:00:00,500.01,517.76,497.77,515.78,4289293
12/8/2020 16:00:00,517.9,521.49,505.55,512.66,4228950
12/9/2020 16:00:00,510.53,514.5,491.29,493.6,4178768
12/10/2020 16:00:00,494.56,503.77,492.91,501.09,3018203
12/11/2020 16:00:00,495,503.34,494.85,503.22,3210928
12/14/2020 16:00:00,505.44,524.16,501.18,522.42,5770424
12/15/2020 16:00:00,518.5,524.7,513.56,519.78,3398209
12/16/2020 16:00:00,520.11,527.38,517.69,524.83,3682392
12/17/2020 16:00:00,529,535.49,526.44,532.9,3193377
12/18/2020 16:00:00,533.2,536.37,526.02,534.45,4502692
12/21/2020 16:00:00,530.05,532.62,521.15,528.91,3893964
12/22/2020 16:00:00,527.69,530.4,520.5,527.33,1908529
12/23/2020 16:00:00,524.76,526.32,514.2,514.48,2393187
12/24/2020 13:00:00,515.12,519.35,512.21,513.97,1143952
12/28/2020 16:00:00,516.43,523.66,507.13,519.12,2891867
12/29/2020 16:00:00,519.9,536.55,515.48,530.87,4022358
12/30/2020 16:00:00,530.13,533.26,523.69,524.59,1876286
12/31/2020 16:00:00,525.53,545.5,523.15,540.73,5392322
1/4/2021 16:00:00,539,540.8,515.09,522.86,4444407
1/5/2021 16:00:00,521.55,526.78,515.89,520.8,3133872
1/6/2021 16:00:00,511.97,513.1,499.5,500.49,5346210
1/7/2021 16:00:00,508.28,516.44,506.42,508.89,3686448
1/8/2021 16:00:00,511.31,513.24,504.51,510.4,2973949
1/11/2021 16:00:00,507.84,510.73,497.95,499.1,3812720
1/12/2021 16:00:00,500,501.09,485.67,494.25,5990425
1/13/2021 16:00:00,495.5,512.35,493.01,507.79,5032099
1/14/2021 16:00:00,507.35,514.5,499.58,500.86,4177357
1/15/2021 16:00:00,500,506.32,495.1,497.98,5895788
1/19/2021 16:00:00,501,509.25,493.54,501.77,12315813
1/20/2021 16:00:00,565.42,593.29,556.86,586.34,32637450
1/21/2021 16:00:00,582.45,588.75,570.4,579.84,11840634
1/22/2021 16:00:00,582.1,583.99,564.35,565.17,7550822
1/25/2021 16:00:00,567,569.75,548.65,556.78,7207329
1/26/2021 16:00:00,554.73,567.99,554.06,561.93,5023847
1/27/2021 16:00:00,550.71,556.42,515.73,523.28,8670277
1/28/2021 16:00:00,535.88,553.15,530.74,538.6,5968978
1/29/2021 16:00:00,538,541,530.18,532.39,4325264
2/1/2021 16:00:00,536.79,545.06,531.73,539.04,3547507
2/2/2021 16:00:00,542.01,555.48,538.93,548.16,3767569
2/3/2021 16:00:00,550.17,550.48,538.24,539.45,3172288
2/4/2021 16:00:00,539.81,559.48,537.51,552.16,5164537
2/5/2021 16:00:00,552.26,554.44,545.48,550.79,2376175
2/8/2021 16:00:00,555,555,543.7,547.92,2791721
2/9/2021 16:00:00,546,566,543,559.07,3703499
2/10/2021 16:00:00,562.5,566.65,553.46,563.59,3991264
2/11/2021 16:00:00,564.44,565.93,554.22,557.59,2730587
2/12/2021 16:00:00,556.94,561.25,550.85,556.52,2197128
2/16/2021 16:00:00,557.29,563.63,552.73,557.28,2624097
2/17/2021 16:00:00,550.99,555.25,543.03,551.34,2071590
2/18/2021 16:00:00,549,550,538.23,548.22,2457604
2/19/2021 16:00:00,548,548.99,538.81,540.22,2841457
2/22/2021 16:00:00,534.99,541.79,530.79,533.78,3078594
2/23/2021 16:00:00,525,548.54,518.28,546.15,4136532
2/24/2021 16:00:00,539.8,556.85,539.07,553.41,3245038
2/25/2021 16:00:00,550.27,556.48,535.75,546.7,4252879
2/26/2021 16:00:00,546.51,553.09,538,538.85,3755574
3/1/2021 16:00:00,545.57,552.14,542,550.64,3042180
3/2/2021 16:00:00,553.34,556.99,546.02,547.82,3042226
3/3/2021 16:00:00,545.93,548.01,517.81,520.7,5362443
3/4/2021 16:00:00,521.5,531.5,507.68,511.29,5034792
3/5/2021 16:00:00,511.98,517.76,498.79,516.39,5069973
3/8/2021 16:00:00,514.46,518.84,492.85,493.33,3981758
3/9/2021 16:00:00,507.31,513.11,503.82,506.44,3470042
3/10/2021 16:00:00,513.5,518.97,504.25,504.54,3771484
3/11/2021 16:00:00,512.2,530.24,510.71,523.06,4714469
3/12/2021 16:00:00,512.5,526.51,506.59,518.02,3981743
3/15/2021 16:00:00,516.32,520.73,508.03,520.25,3485519
3/16/2021 16:00:00,524.47,533.42,523.21,524.03,3238888
3/17/2021 16:00:00,522,528.37,514.3,524.44,2817376
3/18/2021 16:00:00,516.4,517.9,503.85,504.79,4096606
3/19/2021 16:00:00,504.96,513.19,501.63,512.18,4386360
3/22/2021 16:00:00,509.13,529.31,509.13,523.11,3360587
3/23/2021 16:00:00,529.87,543.12,529.4,535.09,5583461
3/24/2021 16:00:00,533.78,534.42,520,520.81,4102211
3/25/2021 16:00:00,516.99,518.53,497,502.86,4926764
3/26/2021 16:00:00,502.82,508.72,496.68,508.05,3467797
3/29/2021 16:00:00,505.66,518,504.4,513.95,3330049
3/30/2021 16:00:00,510.51,514.41,506.91,513.39,2418129
3/31/2021 16:00:00,515.67,528.13,515.44,521.66,3503111
4/1/2021 16:00:00,529.93,540.5,527.03,539.42,3938637
4/5/2021 16:00:00,540.01,542.85,529.23,540.67,3355904
4/6/2021 16:00:00,544.81,554.17,543.3,544.53,3474205
4/7/2021 16:00:00,543.5,549.64,541.45,546.99,2151319
4/8/2021 16:00:00,551.13,556.9,547.57,554.58,4309829
4/9/2021 16:00:00,552.69,556.9,547.11,555.31,2894034
4/12/2021 16:00:00,551.05,557.98,549.58,552.78,2944060
4/13/2021 16:00:00,557,559.75,550.3,553.73,2720344
4/14/2021 16:00:00,554.87,554.87,538.53,540.02,3740294
4/15/2021 16:00:00,544.17,553.49,542.66,549.22,3139050
4/16/2021 16:00:00,550.54,551.98,539.51,546.54,3209075
4/19/2021 16:00:00,546.9,556.44,545.53,554.44,4288715
4/20/2021 16:00:00,554.42,563.56,546.3,549.57,11257648
4/21/2021 16:00:00,508,515.46,503.6,508.9,22897446
4/22/2021 16:00:00,513.82,513.96,500.55,508.78,9061062
4/23/2021 16:00:00,509.01,509.7,500.7,505.55,7314659
4/26/2021 16:00:00,506.76,510.48,503,510.3,4388839
4/27/2021 16:00:00,512.62,512.99,504.58,505.55,3761327
4/28/2021 16:00:00,505.2,508.4,503.34,506.52,3192983
